Attributes,H_1k,P -1k,H-64k,P-64k,H-8MB,P-8MB,H-16MB,P-16MB
L2 cache Access,78968,99451,2124,194432,976,655824,972,786793
CPU cycles,50067922,14577309152,1058629,964412018,191867,9620767495,188911,9636121491
